Dominio;Evento;Datos;Ubicación;Fecha;Velocidad;Latitud;Longitud;
"AA599MH";"Reporte por tiempo";"";"Conquistadores del Desierto a 10.61 km Neuquen, Confluencia,Neuquén,Argentina ";"2019-05-26 16:28:27";"57";"-38,91071";"-68,11235";""
"AA599MH";"Reporte por tiempo";"";"Conquistadores del Desierto a 10.98 km Neuquen, Confluencia,Neuquén,Argentina ";"2019-05-26 16:27:56";"46";"-38,91102";"-68,11768";""
"AA599MH";"Cambio de curso";"";"Conquistadores del Desierto a 11.05 km Centenario, Confluencia,Neuquén,Argentina ";"2019-05-26 16:27:43";"33";"-38,91093";"-68,11934";""
"AA599MH";"Reporte por tiempo";"";"S/N a 11.09 km Centenario, Confluencia,Neuquén,Argentina ";"2019-05-26 16:27:27";"29";"-38,91131";"-68,12051";""
"AA599MH";"Cambio de curso";"";"S/N a 11.10 km Centenario, Confluencia,Neuquén,Argentina ";"2019-05-26 16:27:24";"29";"-38,91147";"-68,12083";""
"AA599MH";"Cambio de curso";"";"S/N a 11.09 km Neuquen, Confluencia,Neuquén,Argentina ";"2019-05-26 16:27:07";"23";"-38,91245";"-68,12099";""
"AA599MH";"Cambio de curso";"";"S/N a 11.07 km Neuquen, Confluencia,Neuquén,Argentina ";"2019-05-26 16:27:03";"26";"-38,91275";"-68,12107";""
"AA599MH";"Cambio de curso";"";"S/N a 11.10 km Neuquen, Confluencia,Neuquén,Argentina ";"2019-05-26 16:26:57";"24";"-38,91286";"-68,12152";""
"AA599MH";"Reporte por tiempo";"";"S/N a 11.10 km Neuquen, Confluencia,Neuquén,Argentina ";"2019-05-26 16:26:56";"24";"-38,91286";"-68,12152";""
"AA599MH";"Cambio de curso";"";"S/N a 11.17 km Neuquen, Confluencia,Neuquén,Argentina ";"2019-05-26 16:26:46";"22";"-38,91233";"-68,12174";""
"AA599MH";"Reporte por tiempo";"";"Autovía Norte a 11.08 km Centenario, Confluencia,Neuquén,Argentina ";"2019-05-26 16:26:26";"48";"-38,91155";"-68,12363";""
"AA599MH";"Reporte por tiempo";"";"Autovía Norte a 10.97 km Centenario, Confluencia,Neuquén,Argentina ";"2019-05-26 16:25:57";"52";"-38,91113";"-68,12809";""
"AA599MH";"Reporte por tiempo";"";"Autovía Norte a 11.00 km Centenario, Confluencia,Neuquén,Argentina ";"2019-05-26 16:25:26";"52";"-38,91145";"-68,1333";""
"AA599MH";"Reporte por tiempo";"";"Autovía Norte a 11.06 km Centenario, Confluencia,Neuquén,Argentina ";"2019-05-26 16:24:57";"40";"-38,91187";"-68,13782";""
"AA599MH";"Reporte por tiempo";"";"Autovía Norte a 11.10 km Centenario, Confluencia,Neuquén,Argentina ";"2019-05-26 16:24:27";"39";"-38,91197";"-68,14191";""
"AA599MH";"Fin de detenido";"";"Autovía Norte a 10.93 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:24:08";"17";"-38,91208";"-68,14373";""
"AA599MH";"Cambio de curso";"";"Autovía Norte a 10.90 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:24:03";"13";"-38,91208";"-68,14398";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.90 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:23:56";"7";"-38,91196";"-68,14412";""
"AA599MH";"Cambio de curso";"";"S/N a 10.92 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:23:44";"8";"-38,91167";"-68,1441";""
"AA599MH";"Cambio de curso";"";"S/N a 10.93 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:23:37";"10";"-38,91153";"-68,14414";""
"AA599MH";"Reporte por tiempo";"";"S/N a 10.90 km Plottier, Confluencia,Neuquén,Argentina ";"2019-05-26 16:23:27";"12";"-38,91152";"-68,14446";""
